"k","alpha","omega","stabilite"
2,0.75,0.3,0.913947582504693
3,0.75,0.3,0.723507495488385
4,0.75,0.3,0.82383579947672
5,0.75,0.3,0.767711247048958
6,0.75,0.3,0.735096277805767
2,0.8,0.3,0.922527879663579
3,0.8,0.3,0.757034368081709
4,0.8,0.3,0.814297673854943
5,0.8,0.3,0.744454860900005
6,0.8,0.3,0.764822245308921
2,0.85,0.3,0.918216461745607
3,0.85,0.3,0.754929095274261
4,0.85,0.3,0.804210131068078
5,0.85,0.3,0.753115423521233
6,0.85,0.3,0.7838529751043
2,0.9,0.3,0.933777711192841
3,0.9,0.3,0.76967094135276
4,0.9,0.3,0.788565072320114
5,0.9,0.3,0.729524341057649
6,0.9,0.3,0.747393402758667
2,0.95,0.3,0.92761004340997
3,0.95,0.3,0.734114829651187
4,0.95,0.3,0.770872708016776
5,0.95,0.3,0.731704369695773
6,0.95,0.3,0.758590428779074
2,1,0.3,0.911979034293891
3,1,0.3,0.733510491325053
4,1,0.3,0.778588724014169
5,1,0.3,0.754384695891035
6,1,0.3,0.750188945180023
2,0,0.35,0.800111357962845
3,0,0.35,0.91257927285114
4,0,0.35,0.868119838197162
5,0,0.35,0.811287227766315
6,0,0.35,0.81785381352871
2,0.05,0.35,0.846786756063628
3,0.05,0.35,0.887312234448911
4,0.05,0.35,0.882725711521488
5,0.05,0.35,0.843607009395184
6,0.05,0.35,0.84939523993176
2,0.1,0.35,0.833724126052979
3,0.1,0.35,0.89001444207072
4,0.1,0.35,0.913465442301295
5,0.1,0.35,0.758723776981515
6,0.1,0.35,0.80374708312111
2,0.15,0.35,0.838771293726025
3,0.15,0.35,0.889704516278731
4,0.15,0.35,0.891552841184013
5,0.15,0.35,0.809737226905327
6,0.15,0.35,0.814328587717817
2,0.2,0.35,0.882742451076345
3,0.2,0.35,0.861984499694186
4,0.2,0.35,0.886481655074629
5,0.2,0.35,0.832489298717729
6,0.2,0.35,0.809994769271053
2,0.25,0.35,0.898188967675125
3,0.25,0.35,0.867577233577817
4,0.25,0.35,0.884000143243283
5,0.25,0.35,0.818392705174923
6,0.25,0.35,0.826816863085631
2,0.3,0.35,0.90519792161051
3,0.3,0.35,0.860237474223814
4,0.3,0.35,0.876522164743028
5,0.3,0.35,0.809283529715969
6,0.3,0.35,0.805923811540976
2,0.35,0.35,0.907152820925241
3,0.35,0.35,0.857182718864858
4,0.35,0.35,0.85539760874296
5,0.35,0.35,0.827949132110366
6,0.35,0.35,0.790498593894425
2,0.4,0.35,0.87682023088248
3,0.4,0.35,0.824522211811238
4,0.4,0.35,0.86364438743587
5,0.4,0.35,0.762127533000429
6,0.4,0.35,0.781709386372661
2,0.45,0.35,0.915227016875786
3,0.45,0.35,0.793346120982724
4,0.45,0.35,0.857543482137575
5,0.45,0.35,0.803386050360773
6,0.45,0.35,0.752572613653922
2,0.5,0.35,0.919047784687192
3,0.5,0.35,0.803083671094927
4,0.5,0.35,0.856700696944712
5,0.5,0.35,0.778470375557972
6,0.5,0.35,0.754700611734082
2,0.55,0.35,0.916250057411563
